fafb,mcns,maol
720575940628908548,10157,10046
720575940603404834,21615,23597
720575940604807392,22017,29322
720575940605087404,24288,30164
720575940605338336,26513,30352
720575940605813350,34128,30990
720575940605955174,34230,31534
720575940606104254,37482,31589
720575940606213664,37795,32030
720575940606562481,38440,32278
720575940606862281,39993,33106
720575940606925489,40423,33279
720575940607081346,45923,33355
720575940607147721,46952,33472
720575940607344476,48804,33542
720575940607462274,53277,33616
720575940607664585,58533,33690
720575940607988146,62734,34258
720575940608419676,62747,34706
720575940608866571,63409,35091
720575940609117451,64630,35323
720575940609228757,65271,35620
720575940609545411,65553,36070
720575940609567957,65823,36196
720575940609635886,65883,36199
720575940609711811,66324,36253
720575940609848021,67814,36293
720575940609940178,68153,36492
720575940610377028,68848,38186
720575940610535236,69388,38433
720575940610756465,69432,39387
720575940611113592,70471,39556
720575940611129720,70512,39621
720575940611239378,71647,40015
720575940611260114,71939,40506
720575940611281870,72263,40521
720575940611480440,72333,41109
720575940611592398,73589,41669
720575940611643256,73912,42606
720575940611646584,74479,42876
720575940612079054,74823,43138
720575940612316634,74939,43677
720575940612319125,76273,43994
720575940612376306,76471,46914
720575940612400753,77235,47317
720575940612637077,77652,47584
720575940612669682,77744,49150
720575940612720691,78511,49154
720575940612825770,78530,49905
720575940612868019,78699,50272
720575940612989849,78896,50407
720575940613055090,79343,50489
720575940613068970,79394,50543
720575940613176239,79621,51260
720575940613246322,79900,51427
720575940613427058,80460,51493
720575940613464434,82902,52213
720575940613633576,83134,52563
720575940613803378,83258,52797
720575940614013438,83916,52887
720575940614113331,85559,52979
720575940614137255,86524,53092
720575940614190376,86689,54083
720575940614221283,87498,54131
720575940614255341,87529,54158
720575940614351075,87942,54191
720575940614465199,90906,54225
720575940614587538,92350,54855
720575940614588926,93242,55251
720575940614655538,93421,55343
720575940614760338,94205,55758
720575940615005351,94252,55871
720575940615105130,94858,57633
720575940615190993,94871,57685
720575940615248790,95630,57855
720575940615420327,95730,57939
720575940615545922,95786,58064
